NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_415410.1	WP_000077098.1	100	97.63	ftsK	b0890	ftsK	LF82_RS04290														LF82_RS25590	b4739	1.25	5.87	2	2	3.17	1
NP_416325.1	WP_000457334.1	100	100	yoaH	b1811	yoaH	LF82_RS09400														LF82_RS06135	b1161	10.9	6.66	14.68	8.75	21.85	6.14
NP_415553.1	WP_001001909.1	100	99.457	ycdY	b1035	ycdY	LF82_RS05225														LF82_RS06140	b1162	43.25	28.24	113.37	101.33	141.29	31
NP_415810.1	WP_001250202.1	100	99.452	sapA	b1294	sapA	LF82_RS06925														LF82_RS06145	b1163	38.58	14.39	25.72	66.07	134.87	18.33
NP_414698.1	WP_001295564.1	100	100	erpA	b0156	erpA	LF82_RS00830														LF82_RS06150	b1164	8.96	4.02	28.58	4.5	7.2	0.5
NP_414633.1	WP_001096048.1	100	99.796	murC	b0091	murC	LF82_RS00475														LF82_RS06155	b1165	7	5.38	19.36	12.12	11.25	2.5
NP_416519.4	WP_000803366.1	100	99.676	yeeY	b2015	yeeY	LF82_RS10675														LF82_RS06160	b1166	5.4	3.06	21.68	5	7.83	4.05
NP_415248.1	WP_000785834.1	100	100	gltA	b0720	gltA	LF82_RS03375														LF82_RS06165	#N/A	3.33	4.25	10.42	1	6.33	0.25
NP_418181.1	WP_000063125.1	100	100	pstB	b3725	pstB	LF82_RS19565														LF82_RS06170	b1167	2.78	0.93	4.75	0.17	2.8	0.25
NP_417994.2	WP_000988308.1	100	100	bcsF	b3537	bcsF	LF82_RS18550														LF82_RS06175	#N/A	10.5	6.5	12	10	6.08	3.62
NP_416125.2	WP_001298660.1	100	98.326	rstA	b1608	rstA	LF82_RS08360														LF82_RS26110	#N/A	0.5	4.08	0.17	0	0.65	2
NP_415846.1	WP_000559878.1	100	98.834	ynaI	b1330	ynaI	LF82_RS07085														LF82_RS26115	#N/A	3.45	5.02	5.54	2.86	6.24	1.24
NP_416420.1	WP_000797555.1	100	99.752	tyrP	b1907	tyrP	LF82_RS09905														LF82_RS26120	#N/A	4.38	6	13.7	2.29	5	1.67
NP_418376.1	WP_000007515.1	100	98.986	metF	b3941	metF	LF82_RS20800														LF82_RS06195	b1171	16.54	9.3	19	10.8	15.42	6.6
NP_414617.1	WP_001300467.1	100	100	leuL	b0075	leuL	LF82_RS00395														LF82_RS06200	b1172	17.69	4.75	11.86	4.25	4.75	3.83
NP_417773.1	WP_000529945.1	100	100	rpsC	b3314	rpsC	LF82_RS17360														LF82_RS06205	b4593	2.64	1.5	3.58	3	2.8	0
NP_416137.1	WP_000179503.1	100	99.415	malI	b1620	malI	LF82_RS08420														LF82_RS23960	b4594	0.33	0	2.62	2.07	0	0
NP_417631.2	WP_014640215.1	100	99.841	deaD	b3162	deaD	LF82_RS16575														LF82_RS25600	#N/A	0	0	0.5	0.62	0	0
NP_415370.1	WP_001195230.1	100	97.647	grxA	b0849	grxA	LF82_RS04045														LF82_RS06210	#N/A	0.89	0.23	1.15	0.75	1.56	0.07
NP_415112.1	WP_000682524.1	100	97.561	ybdJ	b0580	ybdJ	LF82_RS02710														LF82_RS06215	b1174	162.83	138.33	394.62	204.42	217.5	84.42
NP_417655.1	WP_000445413.1	100	100	sfsB	b3188	sfsB	LF82_RS16705														LF82_RS06220	b1175	380.68	286.68	893.54	535.37	522.92	331.77
NP_415294.1	WP_000767411.1	100	98.734	ybhB	b0773	ybhB	LF82_RS03650														LF82_RS06225	b1176	225.1	172.91	485.5	299.6	297.44	111.79
NP_415530.1	WP_001126794.1	100	98.438	rutC	b1010	rutC	LF82_RS05125														LF82_RS06230	b1177	7.5	12.81	28.17	22.5	35.75	13
NP_416360.1	WP_000024728.1	100	97.26	yebE	b1846	yebE	LF82_RS09610														LF82_RS06235	b1178	9.51	9.36	77.32	17.22	20.12	2.5
NP_416845.2	WP_001296261.1	100	100	yfcZ	b2343	yfcZ	LF82_RS12305														LF82_RS06240	#N/A	15.12	16.91	36.27	38.08	44.15	17.29
NP_415940.1	WP_000013809.1	100	97.987	ydcJ	b1423	ydcJ	LF82_RS07305														LF82_RS06245	b1180	35.79	35.67	90.89	89.93	122.36	42.89
YP_588449.3	WP_001815854.1	100	95.652	ymiA	b4522	ymiA	LF82_RS06790														LF82_RS06250	#N/A	76.6	80	111.64	37.74	84.45	29.9
NP_418542.1	WP_255090546.1	100	99.669	melR	b4118	melR	LF82_RS21845														LF82_RS06255	b1181	1.92	0.83	1.7	0.68	2.43	1.58
NP_416437.1	WP_001245691.1	100	99.394	amyA	b1927	amyA	LF82_RS10010														LF82_RS06260	b1183	8.2	6.25	10.09	4.12	7.56	0
NP_418496.1	WP_000220273.1	100	99.103	nrfC	b4072	nrfC	LF82_RS21580														LF82_RS06265	b1184	6.96	1.81	25.15	9.57	13.55	5.39
NP_415730.1	WP_000456476.1	100	99.639	prmC	b1212	prmC	LF82_RS06430														LF82_RS06270	b1185	158.51	141	204.42	178.92	312.83	70
NP_417380.1	WP_014640200.1	100	97.674	gcvH	b2904	gcvH	LF82_RS15080														LF82_RS06275	b1186	253.08	199.14	353.6	240.24	312.51	148.79
NP_416954.1	WP_000651284.1	100	99.251	eutT	b2459	eutT	LF82_RS12755														LF82_RS06280	b1187	97.67	61.58	231.36	199.78	243.78	89.4
NP_417541.1	WP_001065903.1	100	98.425	nfeF	b3070	nfeF	LF82_RS16160														LF82_RS06285	b1188	55.7	43.72	100.43	73.88	57.96	22.88
NP_416220.1	WP_001313872.1	100	96.825	ydiE	b1705	hemP	LF82_RS08870														LF82_RS06290	b1189	44.87	21.17	555.89	88.55	81.63	45.12
NP_415130.1	WP_001043160.1	100	99.715	cstA	b0598	cstA	LF82_RS02825														LF82_RS06295	b1190	54.22	17.67	459.07	99.5	85.22	50.25
NP_418123.2	WP_001298006.1	100	99.317	uhpC	b3667	uhpC	LF82_RS19280														LF82_RS06300	b1191	54.96	69.44	202.33	150.29	179.07	61.28
NP_418666.1	WP_000013038.1	100	99.678	pyrB	b4245	pyrB	LF82_RS22800														LF82_RS06305	b1192	32.25	26.41	58.71	25.75	40.78	18.5
NP_414952.1	WP_000154049.1	100	99.419	pgpA	b0418	pgpA	LF82_RS02055														LF82_RS06310	b1193	25.25	18.4	38.06	28.51	36.98	25.75
NP_417501.1	WP_000633738.1	100	98.077	ygiN	b3029	ygiN	LF82_RS15905														LF82_RS06315	b1194	18.2	126.1	253.46	102.5	131.48	17.22
YP_010051195.1	WP_001297404.1	100	100	yqgG	b4784	yqgG	LF82_RS26380														LF82_RS06320	b1195	2.14	1.25	5.14	1.5	1.31	1.37
NP_417653.1	WP_000271401.1	100	100	rplU	b3186	rplU	LF82_RS16695														LF82_RS06325	#N/A	9.15	13.28	23.38	19.26	17.51	7.62
NP_417044.4	WP_014640190.1	100	97.621	yphG	b2549	yphG	LF82_RS13150														LF82_RS06330	#N/A	3	2.33	2	4.25	6.38	2.43
NP_417542.1	WP_000018005.1	100	99.517	nfeR	b3071	aer	LF82_RS16170														LF82_RS06335	#N/A	1.92	2.73	2.8	3.78	5.78	0.77
NP_418679.1	WP_000416385.1	100	99.79	valS	b4258	valS	LF82_RS22860														LF82_RS06340	#N/A	2.68	1.31	1.46	2.03	3.5	3.12
NP_414699.1	WP_000964221.1	100	100	yadS	b0157	yadS	LF82_RS00835														LF82_RS06345	#N/A	17.29	17.74	25.57	21.52	30.67	13.49
NP_417747.1	WP_000744767.1	100	97.902	rsmB	b3289	rsmB	LF82_RS17230														LF82_RS06350	#N/A	2.22	1.92	5.63	3.58	7.88	2.5
NP_417520.1	WP_000631273.1	100	37.95	yqiI	b3048	zupT	LF82_RS16030														LF82_RS06355	b1197	30.81	29.27	88.01	69.93	49.57	20.44
NP_414709.1	WP_001094557.1	100	99.551	glnD	b0167	glnD	LF82_RS00875														LF82_RS06360	b1198	223.05	118.95	956.51	676.39	483.3	200.17
NP_417938.1	WP_001190062.1	100	100	nikR	b3481	nikR	LF82_RS18220														LF82_RS06365	b1199	108.5	45.18	370.74	264.5	156.72	104.08
NP_415736.2	WP_024190475.1	100	99.134	chaC	b1218	chaC	LF82_RS06465														LF82_RS06370	b1200	136.34	60.57	644.99	394.92	246.64	124.43
NP_416563.1	WP_000654485.1	100	98.925	wcaA	b2059	wcaA	LF82_RS10870														LF82_RS06375	b1201	33.81	12.91	97.11	43.31	65.31	27.12
NP_417738.4	WP_001286216.1	100	100	yrdA	b3279	yrdA	LF82_RS17185														LF82_RS06380	#N/A	16.1	8	21	11.25	42.3	1
NP_414859.1	WP_000692761.1	100	98.281	yahK	b0325	yahM	LF82_RS25500														LF82_RS06385	b1203	428.53	339.78	539.35	388.36	705.94	329.52
NP_418510.1	WP_000507102.1	100	98.466	alsC	b4086	alsC	LF82_RS21685														LF82_RS06390	b1204	55.38	47.28	80.75	37.33	92.96	57.14
NP_416275.1	WP_000373044.1	100	99.329	gdhA	b1761	gdhA	LF82_RS09150														LF82_RS06395	b1205	35.53	39.56	123.27	116	63.33	12
NP_416710.1	WP_000778064.1	100	99.758	napA	b2206	napA	LF82_RS11620														LF82_RS06400	b1206	59.16	48.84	73.45	66.64	98.72	42.77
NP_416424.1	WP_000611328.1	100	99.541	uvrY	b1914	uvrY	LF82_RS09940														LF82_RS06405	b1207	1599.45	1262.76	2215.93	1875.73	2809.34	1280.01
NP_415716.4	WP_001375057.1	100	98.517	dhaM	b1198	dhaM	LF82_RS06360														LF82_RS06410	b1208	192.03	166.34	351.34	255.26	273.37	149.38
NP_415729.1	WP_000804726.1	100	100	prfA	b1211	prfA	LF82_RS06425														LF82_RS06415	b1209	94.64	65.17	155.07	59.4	83.37	44
NP_417880.1	WP_001232914.1	100	96.805	rtcR	b3422	rtcR	LF82_RS17880														LF82_RS06420	b1210	185.73	134.71	291.53	321.79	620.13	203.46
YP_002791250.1	WP_010723117.1	100	100	ypdK	b4680	ypdK	LF82_RS25330														LF82_RS06425	b1211	133.66	63.31	99.05	130.74	263.2	106.76
YP_026210.1	WP_014640218.1	100	98.889	yrdD	b3283	yrdD	LF82_RS17205														LF82_RS06430	b1212	54.15	29.12	46.5	65.58	144.14	48.36
NP_415046.4	WP_001298336.1	100	99.769	ybbY	b0513	ybbY	LF82_RS02520														LF82_RS06435	b1213	49.83	22.67	40.03	38.33	88.43	28.5
NP_414825.1	WP_001131120.1	100	98.454	ecpC	b0291	ecpC	LF82_RS01460														LF82_RS06440	b1214	140.65	106.83	165.06	139	255.53	113.52
NP_415792.1	WP_000099497.1	100	98.99	acnA	b1276	acnA	LF82_RS06805														LF82_RS06445	b1215	175.23	124.81	281.39	265.17	377.59	247.89
NP_416552.1	WP_001553150.1	100	98.684	cpsG	b2048	cpsG	LF82_RS10815														LF82_RS06450	b4419	4	0	2	2	4	6
NP_414767.1	WP_000554755.1	100	97.938	yafN	b0232	yafN	LF82_RS01335														LF82_RS06455	b1216	71.8	81.7	84.08	129.78	198.75	45.73
NP_417566.1	WP_000422149.1	100	100	yqjA	b3095	yqjA	LF82_RS16285														LF82_RS06460	b1217	5.1	5.25	5.83	2.5	11.33	5
NP_417160.1	WP_000080947.1	100	100	nrdI	b2674	nrdI	LF82_RS13870														LF82_RS06465	b1218	12.25	14.67	39.81	23	28.92	14.12
NP_415315.4	WP_001331962.1	100	99.308	ybhF	b0794	ybhF	LF82_RS03765														LF82_RS06470	b1219	62	86.67	219.7	118.78	154.21	26
NP_418114.4	WP_000834420.1	100	99.13	yicJ	b3657	yicJ	LF82_RS19210														LF82_RS06475	b1220	27.5	15.25	39.55	18.83	23.74	9.83
NP_415738.2	WP_000086194.1	100	98.922	ychO	b1220	ychO	LF82_RS06475														LF82_RS06480	b1221	64.54	53.32	129.66	95.37	102.65	66.46
NP_416725.1	WP_000850540.1	100	100	atoD	b2221	atoD	LF82_RS11705														LF82_RS06485	b1222	86.06	91.07	199.72	148.46	138.75	76.07
NP_416883.1	WP_000646857.1	100	98.947	ypdC	b2382	ypdC	LF82_RS12425														LF82_RS06495	b1223	84.57	27.83	114.28	198.53	52.67	64.83
NP_415433.4	WP_000705734.1	100	96.021	ycaI	b0913	ycaI	LF82_RS04390														LF82_RS06500	b1224	77.82	22.74	92.44	295.29	152.49	125.31
NP_418400.1	WP_000187001.1	100	98.907	trmA	b3965	trmA	LF82_RS20940														LF82_RS06505	b1225	18.37	9.31	38.36	39.92	39.11	23.46
NP_418260.1	WP_000947159.1	100	100	corA	b3816	corA	LF82_RS20015														LF82_RS06510	b1226	3.5	5.3	22.22	12.61	17.25	9.5
NP_415193.2	WP_001018040.1	100	100	ybeZ	b0660	ybeZ	LF82_RS03095														LF82_RS06515	b1227	9.62	5.94	14.14	11.5	16.03	5.33
NP_414846.1	WP_001313611.1	100	98.571	betB	b0312	betB	LF82_RS01615														LF82_RS06520	#N/A	16.4	24.29	59.1	21.67	54.17	6.66
NP_417850.1	WP_000816011.1	100	97.816	hofQ	b3391	hofQ	LF82_RS17725														LF82_RS06525	#N/A	9.28	1.58	14.99	9.21	13.99	3.08
YP_002791245.1	WP_010723106.1	100	100	azuC	b4663	azuC	LF82_RS25265														LF82_RS06530	#N/A	0.6	1.14	2.43	3.33	4.28	1
NP_418635.1	WP_000886909.1	100	99.593	cysQ	b4214	cysQ	LF82_RS22655														LF82_RS06535	#N/A	8.04	4.83	9.79	8.75	9.99	2.19
NP_415996.2	WP_000433464.1	100	99.646	maeA	b1479	maeA	LF82_RS07615														LF82_RS06540	#N/A	1.97	2.75	5.1	2.52	1.34	0.5
NP_415367.1	WP_001304778.1	100	98.315	rcdA	b0846	rcdA	LF82_RS04030														LF82_RS06545	#N/A	5.5	3.42	16.7	2.16	7.37	3.83
NP_417231.1	WP_001090357.1	100	99.789	cysN	b2751	cysN	LF82_RS14280														LF82_RS06550	#N/A	10.53	6.46	21.55	9.83	11.58	2
NP_415620.1	WP_000953417.1	100	98.765	fhuE	b1102	fhuE	LF82_RS05575														LF82_RS23565	#N/A	339.67	254.27	491.94	324.65	627.96	178.56
YP_009518748.2	WP_001101849.1	99	80.952	yahH	b0322	yahG	LF82_RS01670														LF82_RS06555	#N/A	14978.46	13553.85	36657.49	32439.8	48656.73	9177.44
NP_416348.2	WP_001552982.1	100	99.544	letB	b1834	yebT	LF82_RS09545														LF82_RS06560	#N/A	15048.49	13666.52	36752.86	32585.03	48934.52	9225.61
NP_415611.1	WP_001008539.1	100	99.59	fabG	b1093	fabG	LF82_RS05530														LF82_RS06565	b1232	142	100.67	200.1	111.62	161.05	65.5
NP_417163.1	WP_000985490.1	100	99.75	proV	b2677	proV	LF82_RS13885														LF82_RS06570	b1233	109.11	86.11	138.79	70.58	123.44	52
NP_418685.1	WP_001338061.1	100	98.795	idnR	b4264	idnR	LF82_RS22890														LF82_RS06575	b1234	42.42	23.6	64.85	73.98	104.75	32.89
NP_416378.1	WP_000907234.1	100	99.593	yebC	b1864	yebC	LF82_RS09710														LF82_RS06580	b1235	29	27.67	36.6	68.17	94	29.12
YP_026187.1	WP_000853188.1	100	98.353	yggP	b4465	yggP	LF82_RS15220														LF82_RS06585	b1236	224	124.06	386.84	295	371.26	182.95
NP_417500.1	WP_000065432.1	100	99.482	mdaB	b3028	mdaB	LF82_RS15900														LF82_RS06590	b1237	2219.51	1714.96	3329.62	2832.51	3678.08	1598.16
NP_415594.1	WP_000885856.1	100	96.517	flgE	b1076	flgE	LF82_RS05445														LF82_RS06595	#N/A	29.33	32.14	35.87	43.25	102	25
NP_416493.1	WP_001011484.1	100	98.689	nac	b1988	nac	LF82_RS10390														LF82_RS06600	b1238	37.96	21.45	64.95	47.6	88.81	18.83
NP_417761.1	WP_001140433.1	100	100	rpmD	b3302	rpmD	LF82_RS17300														LF82_RS06605	b1241	330.02	187.31	709.32	601.92	753.32	378.66
NP_417570.1	WP_000785721.1	100	99.254	yqjE	b3099	yqjE	LF82_RS16305														LF82_RS26125	b4771	3.57	2	16.17	10.5	19.5	6
NP_418413.1	WP_000028878.1	100	100	rplL	b3986	rplL	LF82_RS21045														LF82_RS06610	b1242	22.42	12.31	49.74	50.5	86.71	13.1
NP_417578.2	WP_001295544.1	100	98.148	yhaL	b3107	yhaL	LF82_RS16340														LF82_RS06615	b1243	53.54	51.9	244.31	188.23	168.25	60.09
NP_418428.1	WP_001044513.1	100	100	hupA	b4000	hupA	LF82_RS21115														LF82_RS06620	b1244	19.59	18.51	55.23	51.86	58.58	19.46
NP_416582.1	WP_000675178.1	100	96.146	baeS	b2078	baeS	LF82_RS10960														LF82_RS06625	b1245	17.38	12.5	43.5	32.97	48.38	23
NP_418363.1	WP_001296623.1	100	100	zapB	b3928	zapB	LF82_RS20710														LF82_RS06630	b1246	35.53	27.93	26.84	47.33	68.03	29.53
NP_416021.1	WP_000876774.1	100	96.591	ydeS	b1504	ydeS	LF82_RS07705														LF82_RS06635	b1247	42.56	29.62	66.55	84.78	94.52	43.25
NP_417302.1	WP_001144329.1	100	96.257	ppdB	b2825	ppdB	LF82_RS14765														LF82_RS06640	b1248	26.68	25.17	23	44.89	51.58	27
NP_418305.1	WP_000190574.1	100	99.427	glnL	b3869	glnL	LF82_RS20390														LF82_RS06645	b1249	42.64	23.17	109.92	74.91	114.56	44.25
YP_009518796.1	WP_001307856.1	100	98.276	yecU	b4752	yecU	LF82_RS25720														LF82_RS25610	b4595	800	805.85	1121.86	315	427.22	59.25
NP_414776.1	WP_000749898.1	100	98.575	phoE	b0241	phoE	LF82_RS01380														LF82_RS06655	b1250	32.16	31.39	94.76	78.99	88.01	27
NP_414588.1	WP_000600725.1	100	100	kefF	b0046	kefF	LF82_RS00240														LF82_RS06660	b1251	9	8.5	45.94	42.67	30.75	12.2
YP_002791237.1	WP_001248768.1	98	85.714	sgrT	b4662	sgrR	LF82_RS00370														LF82_RS06665	b1252	89.37	60.76	99.41	184.13	208.38	71.1
NP_415004.1	WP_000467098.1	100	100	ybaB	b0471	ybaB	LF82_RS02325														LF82_RS06670	b1253	153.29	87.95	130.4	138	154.1	38.78
NP_417968.1	WP_000965671.1	100	99.474	hdeD	b3511	hdeD	LF82_RS18410														LF82_RS06675	b1254	69.88	74.71	93.17	96.81	170.62	69.3
NP_417010.1	WP_000551807.1	100	100	ispG	b2515	ispG	LF82_RS13010														LF82_RS06680	#N/A	82.58	52	100.64	102.93	202.79	65.5
NP_418554.1	WP_000856825.1	100	99.381	dtpC	b4130	dtpC	LF82_RS21915														LF82_RS24000	b1255	0	0.5	0	0.57	3	0
NP_416297.1	WP_001019882.1	100	100	yeaG	b1783	yeaG	LF82_RS09265														LF82_RS06685	b1256	20.7	12.93	35.84	69.01	64.93	15.06
NP_418799.1	WP_000477822.1	100	99.545	deoA	b4382	deoA	LF82_RS23420														LF82_RS06690	b1257	2.84	0.12	3.97	3	4.18	0.5
NP_417995.1	WP_000191567.1	100	98.927	bcsG	b3538	bcsG	LF82_RS18555														LF82_RS06695	b1258	1.25	0.56	4.2	3.42	5.58	1.67
NP_417763.1	WP_000358960.1	100	100	rplR	b3304	rplR	LF82_RS17310														LF82_RS06700	b1259	0.5	1.41	0.36	0	0.82	0.25
NP_417676.2	WP_001302019.1	100	99.539	elbB	b3209	elbB	LF82_RS16810														LF82_RS06705	b1260	21.2	16.88	35.52	25.63	44.44	7.94
NP_416381.2	WP_000891621.1	100	100	yecD	b1867	yecD	LF82_RS09725														LF82_RS06710	b1261	12.52	11.22	30.06	25.13	33.32	12.92
NP_415803.2	WP_001298115.1	100	94.667	yciW	b1287	yciW	LF82_RS06870														LF82_RS06715	b1262	7.14	8.5	29.19	22.06	26.14	7.33
NP_418631.2	WP_001358011.1	100	98.442	ytfF	b4210	ytfF	LF82_RS22635														LF82_RS06720	b1263	7.28	6.89	8.09	6.5	9.34	5.05
NP_415338.1	WP_000091016.1	100	100	mntR	b0817	mntR	LF82_RS03890														LF82_RS06725	b1264	3.83	1.4	8.32	5.62	9.33	5.51
NP_415994.4	WP_000781370.1	100	100	yddM	b1477	yddM	LF82_RS07600														LF82_RS24005	#N/A	1.88	0	3	1.8	1	0
NP_416337.1	WP_001062678.1	100	100	cspC	b1823	cspE	LF82_RS09470														LF82_RS06730	b1266	51.97	36.36	82.48	59	113.62	41.85
NP_414822.1	WP_001335188.1	100	97.248	ykgJ	b0288	ykgJ	LF82_RS01445														LF82_RS06735	b1267	69.72	38.65	106.75	86.82	157.28	71.03
NP_415829.1	WP_000737366.1	100	98.857	ycjQ	b1313	ycjQ	LF82_RS06990														LF82_RS06740	b1268	98.23	80.4	120.83	113.39	215.28	44.5
NP_416406.4	WP_001295647.1	100	100	flhD	b1892	flhD	LF82_RS09840														LF82_RS06745	b1269	228.5	199.02	107.08	175.43	333.93	85.96
NP_417248.1	WP_001130266.1	100	100	ygcP	b2768	ygcP	LF82_RS14330														LF82_RS06750	b1270	30.33	20.64	94.76	62.48	57.03	31.19
NP_417251.2	WP_000147679.1	100	98.427	ygcS	b2771	ygcS	LF82_RS14345														LF82_RS06755	b1271	17.45	21	97.83	78.5	59.12	36.82
YP_026219.1	WP_015912562.1	100	96.45	rtcA	b4475	rtcA	LF82_RS17870														LF82_RS06765	b1272	93	66.46	147.62	167.45	263.95	105.94
YP_025309.2	WP_001185734.1	100	98.387	cutC	b1874	cutC	LF82_RS09760														LF82_RS06770	b1273	181	166	371.08	233.2	331.92	72
NP_417506.1	WP_000917117.1	100	100	nudF	b3034	nudF	LF82_RS15960														LF82_RS06780	b1274	592.83	388.21	472.83	468.86	551.38	391.54
NP_417636.1	WP_001040205.1	100	100	rbfA	b3167	rbfA	LF82_RS16600														LF82_RS06785	b1275	60.51	50.97	140.82	119.29	186.42	40.92
YP_009518759.1	WP_001305582.1	100	100	ybgU	b4735	gltA	LF82_RS25545														LF82_RS06790	b4522	12.15	11.3	25.93	24.67	47.9	17
NP_416291.4	WP_001046792.1	100	96.667	yeaC	b1777	yeaC	LF82_RS09235														LF82_RS06795	b4523	8.33	10.12	25.17	38.5	40.89	11
NP_417920.1	WP_000617723.1	100	100	ftsE	b3463	ftsE	LF82_RS18130														LF82_RS25615	b4741	7.18	14.58	28.27	25.75	32.43	5
NP_416809.1	WP_001293612.1	100	99.611	hisP	b2306	hisP	LF82_RS12120														LF82_RS06805	b1276	71.08	30.49	185.24	163.37	193.9	107.83
NP_418687.1	WP_000998695.1	100	100	idnO	b4266	idnO	LF82_RS22900														LF82_RS06810	b1277	30.83	20.83	72.37	84.61	134.33	31
YP_026230.1	WP_001297957.1	100	100	bax	b3570	bax	LF82_RS18760														LF82_RS06815	b1278	43.1	28.46	65.9	67.22	93.13	40.1
NP_418628.4	WP_000211225.1	100	100	fklB	b4207	fklB	LF82_RS22620														LF82_RS06820	b1279	33.87	23.45	70.25	58.1	82.33	46
NP_417397.1	WP_000669837.1	100	98.78	yggE	b2922	yggE	LF82_RS15150														LF82_RS06825	b1280	131.37	84.52	239.64	185.37	254.9	116.14
NP_415515.1	WP_001120105.1	100	99.13	torR	b0995	torR	LF82_RS05050														LF82_RS06830	b1281	69.22	72.57	79.81	30.86	79.64	53.88
NP_416581.1	WP_000130834.1	100	98.089	mdtD	b2077	mdtD	LF82_RS10955														LF82_RS06835	b1282	60.83	64.73	94.16	40.06	68.32	21.25
NP_416841.1	WP_000032640.1	100	72.487	yfcV	b2339	smrB	LF82_RS12285														LF82_RS06840	b1283	19.33	8.83	24	32	52.7	4
NP_415150.1	WP_000700703.1	100	100	citD	b0617	citD	LF82_RS02915														LF82_RS06845	b1284	22.65	19.06	54.05	64.27	67.17	43.75
NP_416870.1	WP_000991370.1	100	100	evgA	b2369	evgA	LF82_RS12355														LF82_RS06850	b4596	11.48	9.2	18	16	24.08	8
NP_416119.1	WP_000014036.1	100	100	pntB	b1602	pntB	LF82_RS08330														LF82_RS26130	b4772	3	1.12	3.32	1	2.25	0
NP_414584.1	WP_001091514.1	100	98.083	fixB	b0042	fixB	LF82_RS00220														LF82_RS06855	#N/A	135.72	59.35	117.17	87.19	145.32	59.2
NP_415240.1	WP_000912709.1	100	98.387	pxpC	b0712	pxpC	LF82_RS03350														LF82_RS06860	b1285	2	1	2.41	1.5	4.17	1
NP_417414.2	WP_001297406.1	100	100	yqgB	b2939	yqgB	LF82_RS15265														LF82_RS06865	b1286	336.38	346.93	380.79	380.19	638.09	264.39
NP_417637.1	WP_000133040.1	100	99.888	infB	b3168	infB	LF82_RS16605														LF82_RS06870	b1287	26.02	27.06	55.87	30.88	50.45	11.53
NP_415449.1	WP_000977927.1	100	98.895	ompF	b0929	ompF	LF82_RS04475														LF82_RS06875	b1288	900.49	738.06	1449.98	774.24	1196.26	514.1
NP_416791.3	WP_000062997.1	100	100	nuoA	b2288	nuoA	LF82_RS12025														LF82_RS06880	#N/A	12.83	6.37	25.63	9.95	14.67	6.31
NP_415456.4	WP_001226260.1	100	97.806	ssuA	b0936	ssuA	LF82_RS04510														LF82_RS06885	#N/A	1.42	3.61	6.99	2.22	4	3.1
NP_418562.4	WP_000069437.1	100	100	aspA	b4139	aspA	LF82_RS22240														LF82_RS06890	#N/A	10.08	11.46	17.08	13.28	13.6	7.13
NP_415134.1	WP_000502940.1	100	98.565	ybdM	b0601	ybdM	LF82_RS02845														LF82_RS06895	#N/A	4.53	1.92	13.49	4	4.92	3
NP_416434.1	WP_000146766.1	100	99.359	fliD	b1924	fliD	LF82_RS09995														LF82_RS06900	#N/A	15.35	14.14	36.7	7.33	18.16	6.34
YP_002791259.1	WP_001387183.1	100	100	ilvX	b4669	ilvX	LF82_RS25880														LF82_RS06905	b1290	37.85	24.17	50.45	47.3	105.17	40.88
NP_417671.1	WP_000183678.1	100	99.387	ptsN	b3204	ptsN	LF82_RS16785														LF82_RS06910	b1291	39.9	29.83	51.58	55.9	97.58	50.08
NP_417345.1	WP_000417784.1	100	99.324	ygeV	b2869	ygeV	LF82_RS14905														LF82_RS06915	b1292	45.28	19.7	46.68	50.84	84.18	59.07
NP_415780.1	WP_001194635.1	100	98.654	trpE	b1264	trpE	LF82_RS06725														LF82_RS06920	b1293	52.08	37.7	31.25	41.98	83	34.6
NP_417964.1	WP_000478618.1	100	98.295	dctR	b3507	dctR	LF82_RS18345														LF82_RS06925	b1294	90.17	61.32	109.47	127.14	173.28	75.3
NP_417274.1	WP_000100428.1	100	98.227	queF	b2794	queF	LF82_RS14480														LF82_RS06930	#N/A	20.4	14.4	41.17	37	49.29	20.5
NP_416959.1	WP_001003709.1	100	100	talA	b2464	tal	LF82_RS12780														LF82_RS26135	b1295	3	1	2.5	3	4	3
NP_417211.1	WP_014640194.1	100	98.988	fhlA	b2731	flhA	LF82_RS14165														LF82_RS06940	b1303	16.85	10.02	47.03	35.5	49.98	14.7
NP_415617.1	WP_001267915.1	100	98.503	holB	b1099	holB	LF82_RS05560														LF82_RS06945	b1304	47.53	38.03	89.56	78.32	85.72	29
NP_415314.1	WP_000070131.1	100	100	ybhS	b0793	ybhS	LF82_RS03760														LF82_RS06950	b1305	5.5	6	9	3	11.64	2.5
